arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
3422;415247057;-0.75;1.0;tr;demi yeah lseydi keske:(( @aslittbk;48.18034933;16.40820823
3462;411469980;-0.75;1.0;;@vsocco @ballm91 zelihanin agladigi an bende agladim :( nasil caresiz...;48.16860948;16.42390435
3466;159130437;-0.75;1.0;;i can not concentrate .... :(;48.23193665;16.36669184
3536;22183781;-0.75;1.0;de;leider nicht mehr das was es einmal war... :-( (at @cafepierrewien) ;48.19789528;16.3545217
3600;545436528;-0.75;1.0;en;@ddlovato i miss sonny with a chance :(((;48.20593101;16.37128893
3631;579185399;-0.75;1.0;;uykum var :-(;48.192172;16.3307245
3641;761227711;-0.75;1.0;tr;milli takim mi galatasaray mi? galatasaray, cnk o daha vefali.. :((( #kaldracakokkupavarbizimlekalmparator;48.1658292;16.3144286
3683;636851233;-0.75;1.0;tr;@pxplatin pislik yobazlarn aaglk seyhleri bu din tccarlar.:((;48.24417783;16.33965073
3735;297625481;-0.75;1.0;;of daha 3 saatim var :(((;48.27293915;16.39105221
3801;89413278;-0.75;1.0;it;quando ho letto di pupi tipo mi sarei fiondata in italia :( non oso pensare alle immagini. #ohcapitano;48.20904937;16.36923448
3901;2612567884;-0.75;1.0;en;#np robin thicke-lost without you :(;48.181125;16.370285
3964;1241926338;-0.75;1.0;sv;paul walker are.i.p :(;48.21444325;16.36400142
3968;761227711;-0.75;1.0;;@fevri_sosyolog hayirlisi diyelim ozaman :(((;48.1656674;16.3145851
4014;923921538;-0.75;1.0;;@ajshecavus gnaydin yavliiii uyumustum :(;48.21995903;16.41253964
4124;171971879;-0.75;1.0;;@christianaprier - duu armeees!!! :-(((;48.19399161;16.36036535
4414;154631300;-0.75;1.0;;@busra_0093 biz de seni seviyoruz bitanem ve yanimizda olmani cok isterdik :(;48.2215918;16.4043584
4442;550034605;-0.75;1.0;;i can not sleep till @harry_styles isnt notice me! :( x40;48.2351709;16.4123283
4641;761227711;-0.75;1.0;;vicdan m :( @ntvspor;48.16576615;16.3147289
4655;40217418;-0.75;1.0;de;berater (m/w) managementberatung - schwerpunkt banking - accenture: (#wien)  #banking #job #jobs;48.208174;16.373819
4860;70209811;-0.75;1.0;;"@_itsantonia weil ich hobbylos bin &gt;:(";48.2253938;16.42346185
4878;761227711;-0.75;1.0;;@mutluuuluuuk yeah her ay ekmek zorundaym resmen :(;48.165771;16.31456125
4916;191146997;-0.75;1.0;es;1 semana y a chile :( :( :( :(;48.1951513;16.34251191
5142;2188116599;-0.75;1.0;tr;sabah sabah tadim yok yeah laaaan :(;48.188717;16.343552
5147;404854105;-0.75;1.0;;"memehh gamang aku diorang nok :( rt @itta_hartawan: damang, gungaji ;d rt @gungdetrisna: pagi neng (cont) ";48.2371612;16.3422515
5165;188072247;-0.75;1.0;tr;hic sevmiyorum yha bu durumlari... sabah 6da yatipda.. aksama yakin kalkmaya. :( gnaydin diyelim..;48.167346;16.3755101
5170;787678;-0.75;1.0;de;"@kue_atasoy @mahriah eindruck das wr ""eine piratenaktion"" gewesen ist falsch. komm grad nicht dazu zu bloggen :(";48.19879132;16.35128964
5204;357052843;-0.75;1.0;ko;    @murutukus: (..   ..)         .  ..     .;48.24307564;16.33284898
5317;550034605;-0.75;1.0;en;@real_liam_payne still not sleeping, because i am waiting for you to tweet me :(;48.2352711;16.4115573
5319;90934189;-0.75;1.0;de;@onatcer seufz werde dann wohl zu lr wechseln mssen:(;48.21534;16.347458
5321;550034605;-0.75;1.0;;i can not sleep till @harry_styles isnt notice me! :( x18;48.2352225;16.4122786
5342;378227343;-0.75;0.95;en;i just ousted @guru2 as the mayor of kfc - kentucky fried chicken on @foursquare! ;48.24242439;16.43357277
5510;761227711;-0.75;1.0;;@osmanleventylmz @volkan934 yapma bunu bana yaa :( kskanrm ben bitanemi :(;48.1806581;16.3274203
5574;2238107518;-0.75;1.0;de;hab rikki immer wegen zane beneidet :c tu ich immer noch;48.212352;16.227163
5607;761227711;-0.75;1.0;;@alex10combr sen efsane deil misin panpa :(;48.16575965;16.31481817
5616;10959642;-0.75;0.9;;this crazy contraption made me a mojito! #roboexotica @ roboexotica 2012 ;48.20986053;16.33729219
5654;15747885;-0.75;1.0;de;@oeh_uniwien beantwortet leider meine frage nicht =(;48.133091;16.263674
5810;40217122;-0.75;1.0;en;"account manager f&amp;b - austria - oracle: (#wien)  #sales #job #jobs #hiring #careerarc";48.2081743;16.3738189
5924;296277456;-0.75;1.0;;@serifekapoor ne olacak bizim bu halimiz..  jupi terkmi etti seni? bn o yildiza nasl kavusucam .. hep cok uzaklarda :(;48.16994971;16.38998305
5925;40217286;-0.75;1.0;de;junior-business analyst (m/w) fr ges... - accenture asg (austria, switzerl...: ( #wien )  #projectmgmt #job;48.208174;16.373819
6191;40301402;-0.75;1.0;;"praktikant (w/m) fr consulting operations &amp; project ... - sap: ( #vienna )  #businessmgmt #sap #sapjobs #job";48.2081743;16.3738189
6193;66378987;-0.75;1.0;;simdi gel de kufur etme city gol atti bayern keza kodumun evertonu 2. lig takimina atamadi :(;48.20881321;16.32828035
6309;23659878;-0.75;1.0;de;auto-alarmanlagen. wozu sind die da? doch, um den besitzer zu alarmieren, oder?! nervig fr alle, wenn der taub ist und das ding jault ...:(;48.2014;16.3362
6728;492996813;-0.75;1.0;;@popela_ sie holt ihn einmal die woche aus der krippe ab und bespat ihn fr 4h. abends wollten wir auch aber bisher hatten wir nie zeit :(;48.1946755;16.36323139
6752;233369695;-0.75;1.0;tr;@zynpsare kabahat bende ne diye inanirsin dimi bi an fbli kimligimi unuttum duygularima yenik dustum:(;48.16911961;16.3625505
6861;40240290;-0.75;1.0;fr;chef de partie - hilton uk: (#vienna)  #hospitality #job #jobs #hiring;48.2081743;16.3738189
6953;165939446;-0.75;1.0;es;quien tiene cumpleaos hooy??? te extrao tanto :(  @felipe_aenima;48.163525;16.384232
7102;446117443;-0.75;1.0;;bi insan bu kadarmi ozlerr :(;48.1804312;16.3302875
7249;1559916798;-0.75;1.0;en;@b_halaumudumvar  coome on what the hell is this shity stuff :(;48.2464066;16.3372678
7331;484647685;-0.75;1.0;tr;suan 1 yildir petito yemedigimi farkettim. .. nasil canim cekti :(;48.1778476;16.3679892
7591;324282534;-0.75;1.0;;@alwaysfetish abue  daar lagyo :( @ifucchi;48.1868686;16.3300241
7620;372729475;-0.75;1.0;tr;@gurkannkilic 50 lira verip eldiven aldm o bile engel olamad ellerimin atlamasna :(;48.238875;16.430081
7629;484647685;-0.75;1.0;tr;oha yeah :((( #gunesibeklerken;48.178357;16.3674538
7690;622663668;-0.75;1.0;en;just woke up. its 3 fuckin am craaaaamps ughhhh i am dying :-( #whythefuckamiagirl :-( i need my pills but i can not walk :-( #fuckfuckfuck;48.22232112;16.40556007
8036;747351162;-0.75;1.0;tr;allahim delirdim yaaa :(;48.1902164;16.3534331
8068;328987231;-0.75;1.0;sl;"ja. trenutno. :( ""@whateva_bro: -sta ona radi you zivotu, cime se bavi?
-pa ona je trudna""";48.203103;16.343813
8182;2575712889;-0.75;1.0;de;@samislimani ich liebe dich , auch wenn ich keine bekomme :(;48.160055;16.426164
8198;761227711;-0.75;1.0;tr;tolga zengin hakli olarak bayagi isyan etmis garibim benim yeah :(;48.16581113;16.31464158
8354;415046781;-0.75;1.0;tr;@cydmkc evet galiba off :( esma abla okumus bi yerde cikarsa en sonda cikar oda oldu giti bende onun icin bakiyordm azda;48.17105611;16.3603234
8485;257518186;-0.75;1.0;tr;ryamin gzelligi.. keske gercek olsaydi :((;48.23110842;16.3946169
8594;763794181;-0.75;1.0;;cok yoruldum temizligim hala bitmedi ama ne yazikki, yani daha cay keyfime cok var:((;48.21985912;16.31768056
8762;1468165987;-0.75;1.0;sl;@samostankovski ma dodji ti jebem ti mater :(;48.222228;16.374109
8919;348057912;-0.75;1.0;tr;bi kiimiz eksik .. ama o ekinmek istemedi :((( ;48.1679009;16.3895384
9014;2979880064;-0.75;1.0;en;plaza host - hilton uk: (#vienna)  #hospitality #job #jobs #hiring;48.2081743;16.3738189
9141;636851233;-0.75;1.0;tr;@bosphorus72 @noyan___ elini boka bulatrmaya degmez.:((;48.24426301;16.33969864
9145;761227711;-0.75;1.0;tr;#birideksn desin ki osman ehit olmadi, osman kanat lmedi :((((( #barutgibi;48.16579712;16.314709
9220;761227711;-0.75;1.0;;@mami9335 attm ama glme nolur :(;48.1680859;16.3168188
9302;89212044;-0.75;1.0;;@_ksebastian es war ju pa??? :((;48.20369209;16.31735262
9406;219348639;-0.75;1.0;es;@emilcr ah, no le ofrezco :(;48.195162;16.342496
9480;195393386;-0.75;1.0;;i dont even have my own-time. :(;48.24131701;16.40499073
9487;538326708;-0.75;1.0;tr;ama soguksun viyanaa yaaa :((;48.1661584;16.3262397
